,album,composer,length,title,artist,albumartist,organization,tracknumber,genre,date
59,Cordial,Jean Frechette/Traditional/Yves Lambert,224400,Lune de Miel (Honeymoon),La Bottine Souriante,La Bottine Souriante,Les Productions Mille-Pattes,7,World,2001
60,Cordial,Claude Champagne/Guy Pelletier/La Bottine Souriante,442426,"Et Boucle La Bottine (And ""Loop"" La Bottine)",La Bottine Souriante,La Bottine Souriante,Les Productions Mille-Pattes,16,World,2001
61,Cordial,Jean Frechette/Michel Bordeleau/Pierre Belisle/Regent Archambault/Traditional/Yves Lambert,341066,Reel de Baie St-Paul (Baie St-Paul's Reel),La Bottine Souriante,La Bottine Souriante,Les Productions Mille-Pattes,15,World,2001
62,Cordial,Jean Frechette/Michel Bordeleau/Pierre Belisle/Regent Archambault/Traditional/Yves Lambert,210960,Set à Ubert (Ubert's Set),La Bottine Souriante,La Bottine Souriante,Les Productions Mille-Pattes,4,World,2001
63,Cordial,Traditional,221626,Aimé,La Bottine Souriante,La Bottine Souriante,Les Productions Mille-Pattes,6,World,2001
64,Cordial,Jean Frechette/Traditional,175293,Chant de La Luette (The Worbler's Song),La Bottine Souriante,La Bottine Souriante,Les Productions Mille-Pattes,14,World,2001
65,Cordial,Donald Messer,137106,Les Noces d'Or (Golden Wedding Reel),La Bottine Souriante,La Bottine Souriante,Les Productions Mille-Pattes,11,World,2001
66,Cordial,Jean Frechette/Michel Bordeleau/Pierre Belisle/Regent Archambault/Traditional/Yves Lambert,273706,Le Démon Sort de l'Enfer (The Devil Comes out of Hell),La Bottine Souriante,La Bottine Souriante,Les Productions Mille-Pattes,3,World,2001
67,Cordial,Jean Frechette/Michel Bordeleau/Traditional,191026,Dans Paris Y'a T'Une Brune (The Brunette from Paris),La Bottine Souriante,La Bottine Souriante,Les Productions Mille-Pattes,1,World,2001
68,Cordial,Jean Frechette/Pierre Belisle/Traditional,244133,La Grandeuse (The Grumbling Woman),La Bottine Souriante,La Bottine Souriante,Les Productions Mille-Pattes,2,World,2001
69,Cordial,Jean Frechette/Michel Bordeleau/Pierre Belisle/Regent Archambault/Traditional/Yves Lambert,232493,A Bas Les Rideaux (Out with the Lies),La Bottine Souriante,La Bottine Souriante,Les Productions Mille-Pattes,10,World,2001
70,Cordial,"Fernando Soucy/Gauthier, Paul Marcel",154533,Viens-Tu Prendre une Bière? (Come Have a Beer!),La Bottine Souriante,La Bottine Souriante,Les Productions Mille-Pattes,12,World,2001
